Program,Program Desc,College,College Desc,Level,Level Desc,Department,Department Desc,Degree,Degree Desc,Major,Major Desc,Campus,Campus Desc,Major CIP,Major CIP Desc,Combined Ind,Concentration,Concentration Desc,Eff Term,Eff Term Desc,Admission Ind,Student Ind,Outcome Ind,Eff Status,Program Status
CERTG-GMSC,CERTG Game Science,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,CERTG,Graduate Certificate,GMSC,Game Science,BOS,Boston,100304,Animation,,,,202210,Fall 2021 Semester,Y,Y,Y,Current,Active
CERTG-IDEV,CERTG Info Design & Visual,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,CERTG,Graduate Certificate,IDEV,Info Design and Visualization,BOS,Boston,500401,Design & Visual Communics,,,,201810,Fall 2017 Semester,Y,Y,Y,Current,Active
MFA-EXPD,MFA Experience Design,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,MFA,Master of Fine Arts,EXPD,Experience Design,BOS,Boston,500499,Design & Applied Arts,,,,201810,Fall 2017 Semester,Y,Y,Y,Current,Active
MFA-IDDV,MFA Info Dsgn & Data Visualztn,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,MFA,Master of Fine Arts,IDDV,Info Dsgn & Data Visualization,BOS,Boston,303101,Human Computer Interaction,,,,202110,Fall 2020 Semester,Y,Y,Y,Current,Active
MS-EXPD,MS Experience Design,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,MS,Master of Science,EXPD,Experience Design,BOS,Boston,500499,Design & Applied Arts,,,,201810,Fall 2017 Semester,Y,Y,Y,Current,Active
MS-GSAD,MS Game Science and Design,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,MS,Master of Science,GSAD,Game Science and Design,BOS,Boston,100304,Animation,,,,201410,Fall 2013 Semester,Y,Y,Y,Current,Active
MS-IDDV,MS Info Dsgn & Data Visualztn,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,MS,Master of Science,IDDV,Info Dsgn & Data Visualization,BOS,Boston,303101,Human Computer Interaction,,,,202010,Fall 2019 Semester,Y,Y,Y,Current,Active
MS-IDDV,MS Info Dsgn & Data Visualztn,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,MS,Master of Science,IDDV,Info Dsgn & Data Visualization,VAN,"Vancouver, Canada",303101,Human Computer Interaction,,,,202010,Fall 2019 Semester,Y,Y,Y,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,ND,Non-Degree,EXPD,Experience Design,BOS,Boston,500499,Design & Applied Arts,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,ND,Non-Degree,GSAD,Game Science and Design,BOS,Boston,100304,Animation,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,ND,Non-Degree,IDEV,Info Design and Visualization,BOS,Boston,500401,Design & Visual Communics,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,COMM,Communication Studies,ND,Non-Degree,CMMC,Comm Media/Cultural Studies,BOS,Boston,090101,Speech Communic & Rhetoric,Y,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,COMM,Communication Studies,ND,Non-Degree,CMST,Communication Studies,BOS,Boston,090101,Speech Communic & Rhetoric,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
CERTG-ARAD,CERTG Arts Administration,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,CERTG,Graduate Certificate,ARAD,Arts Administration,BOS,Boston,501099,Art Mgmt Other,,,,201810,Fall 2017 Semester,Y,Y,Y,Current,Active
CERTG-CUEN,CERTG Cultur. Entrepreneurship,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,CERTG,Graduate Certificate,CUEN,Cultural Entrepreneurship,BOS,Boston,501099,Art Mgmt Other,,,,201810,Fall 2017 Semester,Y,Y,Y,Current,Active
MFA-INTA,MFA Interdisciplinary Arts,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,MFA,Master of Fine Arts,INTA,Interdisciplinary Arts,BOS,Boston,500799,Fine Arts & Art Stu,,,,202240,Summer 1 2022 Semester,Y,Y,Y,Current,Active
MFA-INTA,MFA Interdisciplinary Arts,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,MFA,Master of Fine Arts,INTA,Interdisciplinary Arts,OAK,"Oakland, CA",500799,Fine Arts & Art Stu,,,,202240,Summer 1 2022 Semester,Y,Y,Y,Current,Active
MS-AMCE,MS Art Admin/Cultural Entrep,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,MS,Master of Science,AMCE,Arts Adm & Cultural Entrepren,BOS,Boston,501099,Art Mgmt Other,,,,201910,Fall 2018 Semester,Y,Y,Y,Current,Active
MS-CPLD,MS Creative Prac Leadership,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,MS,Master of Science,CPLD,Creative Practice Leadership,BOS,Boston,509999,Visual & Performing Arts,,,,202010,Fall 2019 Semester,Y,Y,Y,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,ND,Non-Degree,AMCE,Arts Adm & Cultural Entrepren,BOS,Boston,501099,Art Mgmt Other,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,ND,Non-Degree,CPLD,Creative Practice Leadership,BOS,Boston,509999,Visual & Performing Arts,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,ND,Non-Degree,INTA,Interdisciplinary Arts,BOS,Boston,500799,Fine Arts & Art Stu,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
PHD-IDSM,PhD Interdiscipln Dsgn & Media,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,PHD,Doctor of Philosophy,IDSM,Interdisciplinary Dsgn & Media,BOS,Boston,500401,Design & Visual Communics,,,,202110,Fall 2020 Semester,Y,Y,Y,Current,Active
PHD-IDSM-A,PhD Interdisc Dsgn & Media Adv,AM,"Coll of Arts, Media & Design",GR,Graduate,INAM,Interdisc Studies - Arts/Media,PHD,Doctor of Philosophy,IDSM,Interdisciplinary Dsgn & Media,BOS,Boston,500401,Design & Visual Communics,,,,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
MA-JOUR,MA Journalism,AM,"Coll of Arts, Media & Design",GR,Graduate,JRNL,Journalism,MA,Master of Arts,JOUR,Journalism,BOS,Boston,090401,Journalism,,,,200410,Fall 2003 Semester,Y,Y,Y,Current,Active
MS-MEDA,MS Media Advocacy,AM,"Coll of Arts, Media & Design",GR,Graduate,JRNL,Journalism,MS,Master of Science,MEDA,Media Advocacy,BOS,Boston,099999,Communics,,,,201810,Fall 2017 Semester,Y,Y,Y,Current,Active
MS-MIDC,MS Media Innov and Data Comm,AM,"Coll of Arts, Media & Design",GR,Graduate,JRNL,Journalism,MS,Master of Science,MIDC,Media Innovation and Data Comm,BOS,Boston,090702,Digital Communics/Multimedia,,,,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,JRNL,Journalism,ND,Non-Degree,JOUR,Journalism,BOS,Boston,090401,Journalism,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,JRNL,Journalism,ND,Non-Degree,MEDA,Media Advocacy,BOS,Boston,099999,Communics,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,MMST,Multimedia Studies,ND,Non-Degree,MUST,Multimedia Studies,BOS,Boston,500706,Intermedia/Multimedia,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,MUSC,Music,ND,Non-Degree,MUIL,Music Industry Leadership,BOS,Boston,500999,Music,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
BLA-LARC,BLA in Landscape Architecture,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BLA,Bachelor Landscape Architect.,LARC,Landscape Architecture,BOS,Boston,040601,Landscape Architecture,,,,201210,Fall 2011 Semester,Y,Y,Y,Current,Active
BS-AENG,BS Architecture/ English,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BS,Bachelor of Science,AENG,Architecture/ English,BOS,Boston,040201,Architecture,Y,,,201730,Spring 2017 Semester,Y,Y,Y,Current,Active
BS-ARCH,BS Architecture,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BS,Bachelor of Science,ARCT,Architecture,BOS,Boston,040902,Arch & Building Sci/Tech,,,,201710,Fall 2016 Semester,Y,Y,Y,Current,Active
BS-ARCS,BS Architectural Studies,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BS,Bachelor of Science,ARCS,Architectural Studies,BOS,Boston,040801,Architect History & Criticism,,,,201410,Fall 2013 Semester,Y,Y,Y,Current,Active
BS-ARSD,BS Architectural Studies/Dsgn,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BS,Bachelor of Science,ARSD,Architectural Studies/Design,BOS,Boston,040803,Architectural Studies,Y,,,202110,Fall 2020 Semester,Y,Y,Y,Current,Active
BS-ESLA,BS Environ & Sust Sci/Land Arc,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BS,Bachelor of Science,ESLA,Environ and Sust Sci/Land Arch,BOS,Boston,030104,Environmental Sce,Y,,,202130,Spring 2021 Semester,Y,Y,Y,Current,Active
BS-PRAM-U,"Transitional Art, Med, Des UG",AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BS,Bachelor of Science,ARCH,Architecture,BOS,Boston,040201,Architecture,,,,200410,Fall 2003 Semester,N,Y,N,Current,Active
BS-PRAM-U,"Transitional Art, Med, Des UG",AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,BS,Bachelor of Science,ARCS,Architectural Studies,BOS,Boston,040801,Architect History & Criticism,,,,200410,Fall 2003 Semester,N,Y,N,Current,Active
ND-EXCH-AM-U,ND Exchange Students AM UG,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARCH,Architecture,ND,Non-Degree,ARCH,Architecture,BOS,Boston,040201,Architecture,,,,201130,Spring 2011 Semester,Y,Y,N,Current,Active
BA-ARTS,BA Art,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BA,Bachelor of Arts,ARTS,Art,BOS,Boston,500702,Fine/Studio Arts,,NOCC,No Concentration,201410,Fall 2013 Semester,Y,Y,Y,Current,Active
BA-ARTS,BA Art,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BA,Bachelor of Arts,ARTS,Art,BOS,Boston,500702,Fine/Studio Arts,,VIST,Visual Studies,201410,Fall 2013 Semester,N,Y,Y,Current,Active
BA-ARTS,BA Art,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BA,Bachelor of Arts,ARTS,Art,OAK,"Oakland, CA",500702,Fine/Studio Arts,,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BA-ARTS,BA Art,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BA,Bachelor of Arts,ARTS,Art,OAK,"Oakland, CA",500702,Fine/Studio Arts,,VIST,Visual Studies,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BA-ENGD,BA English/Graphic & Info Desi,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BA,Bachelor of Arts,ENGD,English/Graphic & Info Design,BOS,Boston,230101,English Lang. & Lit.,Y,,,201610,Fall 2015 Semester,Y,Y,Y,Current,Active
BA-MACM,BA Media Arts/Comm. Studies,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BA,Bachelor of Arts,MACM,Media Arts/Communication Stud.,BOS,Boston,500102,Digital Arts,Y,,,201440,Summer 1 2014 Semester,Y,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,BOS,Boston,500409,Graphic Design,,EXPD,Experience Design,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,BOS,Boston,500409,Graphic Design,,GDSN,Graphic Design,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,BOS,Boston,500409,Graphic Design,,IDSN,Information Design,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,BOS,Boston,500409,Graphic Design,,INTD,Interaction Design,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,BOS,Boston,500409,Graphic Design,,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,OAK,"Oakland, CA",500409,Graphic Design,,EXPD,Experience Design,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,OAK,"Oakland, CA",500409,Graphic Design,,GRID,Graphic and Information Design,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,OAK,"Oakland, CA",500409,Graphic Design,,INTD,Interaction Design,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-DESN,BFA Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,DESN,Design,OAK,"Oakland, CA",500409,Graphic Design,,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BFA-GAAN,BFA Game Art and Animation,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,GAAN,Game Art and Animation,BOS,Boston,500605,Photography,,,,201910,Fall 2018 Semester,Y,Y,Y,Current,Active
BFA-GAME,BFA Game Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,GMDS,Game Design,BOS,Boston,100304,Animation,,,,202030,Spring 2020 Semester,Y,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,BOS,Boston,500102,Digital Arts,,ANIM,Animation,201410,Fall 2013 Semester,N,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,BOS,Boston,500102,Digital Arts,,NOCC,No Concentration,201410,Fall 2013 Semester,Y,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,BOS,Boston,500102,Digital Arts,,PHOT,Photography,201410,Fall 2013 Semester,N,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,BOS,Boston,500102,Digital Arts,,VDEO,Video Arts,201410,Fall 2013 Semester,N,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,OAK,"Oakland, CA",500102,Digital Arts,,ANIM,Animation,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,OAK,"Oakland, CA",500102,Digital Arts,,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,OAK,"Oakland, CA",500102,Digital Arts,,PHOT,Photography,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-MART,BFA Media Arts,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,MART,Media Arts,OAK,"Oakland, CA",500102,Digital Arts,,VDEO,Video Arts,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BFA-STAR,BFA Studio Art,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,STAR,Studio Art,BOS,Boston,500702,Fine/Studio Arts,,,,200410,Fall 2003 Semester,Y,Y,Y,Current,Active
BFA-STAR,BFA Studio Art,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BFA,Bachelor of Fine Arts,STAR,Studio Art,OAK,"Oakland, CA",500702,Fine/Studio Arts,,,,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BNDS,BS Behav Neuroscience/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BNDS,Behavioral Neuroscience/Design,BOS,Boston,261501,Neuroscience,Y,,,202110,Fall 2020 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,ACAS,Accounting & Advisory Services,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,ACCT,Accounting,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,BMGT,Brand Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,BUSA,Business Analytics,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,COIN,Corporate Innovation,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,COIV,Corporate Innovation & Venture,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,ENTS,Entrepreneurial Startups,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,FBUS,Family Business,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,FINA,Finance,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,FINT,Fintech,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,HCMC,Healthcare Mgmt & Consulting,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,INBU,International Business,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,MGMT,Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,MKAN,Marketing Analytics,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,MKTG,Marketing,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,MMIS,Management Information Systems,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,N,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,SIEN,Social Innov & Entrepreneurshp,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-BUDE,BS Business Admin/Design,AM,"Coll of Arts, Media & Design",UG,Undergraduate,ARTD,Art and Design,BS,Bachelor of Science,BUDE,Business Administration/Design,BOS,Boston,520101,Bus./Commerce,Y,SUPC,Supply Chain Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
